
Название	Факультет	Online	Запись
Динамические системы	Механико-математический факультет	Нет	Открыта
Информатика, экономика, бизнес-консалтинг	Механико-математический факультет	Нет	Открыта
Классическая механика	Механико-математический факультет	Нет	Открыта
Работа с данными в индустрии	Механико-математический факультет	Нет	Открыта
Основы теории оценивания	Механико-математический факультет	Нет	Открыта
Введение в компьютерную лингвистику	Механико-математический факультет	Нет	Открыта
Математическая статистика и анализ данных	Механико-математический факультет	Нет	Открыта
Методы искусственного интеллекта в задачах анализа данных и верификации программ	Механико-математический факультет	Нет	Открыта
Квантовая природа вычислений	Факультет вычислительной математики и кибернетики	Нет	Открыта
Язык программирования SQL	Факультет вычислительной математики и кибернетики	Нет	Открыта
Задачи управления в мехатронике и робототехнике	Факультет вычислительной математики и кибернетики	Нет	Открыта
Неархимедов анализ в информатике, физике, биологии	Факультет вычислительной математики и кибернетики	Нет	Открыта
Вероятностные модели случайных явлений и процессов	Факультет вычислительной математики и кибернетики	Нет	Открыта
Основы машинного обучения	Факультет вычислительной математики и кибернетики	Нет	Открыта
Оптимизационные методы искусственного интеллекта	Факультет вычислительной математики и кибернетики	Нет	Открыта
Как уберечь мир от киберармагеддона: уязвимости, угрозы, решения	Факультет вычислительной математики и кибернетики	Нет	Открыта
Введение в Википедию	Факультет вычислительной математики и кибернетики	Нет	Открыта
Статистика, хаос, фрактальность – три кита современных междисциплинарных и трансдисциплинарных технологий	Физический факультет	Нет	Открыта
Микро- и макромир — единство противоположностей	Физический факультет	Нет	Открыта
Научная революция XVI-XVII веков: ученые, власть, общество	Физический факультет	Нет	Открыта
Современные компьютеры и интернет: могут ли они работать со "скоростью" света?	Физический факультет	Нет	Открыта
Загадки воды: заблуждения и факты	Физический факультет	Нет	Открыта
Энергия для жизни	Физический факультет	Нет	Открыта
Клеточные технологии и теория решения инновационных задач. Решения в развитии науки	Физический факультет	Нет	Открыта
Макроскопические квантовые явления в конденсированных средах	Физический факультет	Нет	Открыта
Арт-физика	Физический факультет	Нет	Открыта
Флуктуации в природе и культуре	Физический факультет	Нет	Открыта
Невидимая элементарная частица нейтрино: уникальные свойства и роль в становлении современных представлений о материи	Физический факультет	Нет	Открыта
Вселенная, разум и искусственный интеллект	Физический факультет	Нет	Открыта
Метод и искусство математического моделирования	Физический факультет	Нет	Открыта
Интеллектуальные права и искусственный интеллект для неюристов	Физический факультет	Нет	Открыта
Нейронные сети и их применение в научных исследованиях	Физический факультет	Нет	Открыта
Ядерная физика и человек	Физический факультет	Нет	Открыта
От Большого Взрыва до искусственного интеллекта	Физический факультет	Нет	Открыта
Квантовые технологии: от парадоксов квантовой физики до квантовых компьютеров и квантовой криптографии	Физический факультет	Да	Закрыта
Основы астрономии	Физический факультет	Да	Закрыта
Масс-спектрометрия	Химический факультет	Нет	Открыта
Микроорганизмы, ферменты и медицина. Новые возможности	Химический факультет	Нет	Открыта
Новая система управления твердыми коммунальными отходами в РФ	Химический факультет	Нет	Закрыта
От дизайна материалов до производства: опыт создания высокотехнологичного бизнеса	Химический факультет	Нет	Открыта
Наноматериалы на основе биополимеров	Химический факультет	Нет	Открыта
Стекло и керамика — химия, технология, культура	Химический факультет	Нет	Открыта
Строение и динамика молекул	Химический факультет	Нет	Открыта
Как химия объясняет и изменяет окружающий мир	Химический факультет	Да	Закрыта
Простые молекулы в нашей жизни	Химический факультет	Да	Закрыта
Современная палеонтология: новая история земной жизни	Биологический факультет	Нет	Открыта
Коммуникация животных и язык человека	Биологический факультет	Нет	Открыта
Лес и человек: почему вместе?	Биологический факультет	Нет	Открыта
"Химия" мозга: нейромедиаторы и психотропные препараты	Биологический факультет	Нет	Открыта
Этномикология: грибы и человечество из глубины веков до наших дней	Биологический факультет	Нет	Открыта
